"","RowID_","WellNam","County","State","LatDegr","LongDgr","SRS","DrllrTt","TruVrtc","DpthOfM","ElevtnG","LngthUn","MeasrdT","Temprtr","DrllngF","bht_c","WellDepth","MeasrDp","RprtdEl","CRS","coords_x1","coords_x2","BHT","StateID","API_14Dig","coords.x1","coords.x2","optional"
"565",12060,NA,"Cattaraugus","NY",42.36296,-78.86903,"NAD83",3962,0,3962,1769,"ft",88,0,NA,31.11,1207.62,1207.62,539.19,"NAD83",675479.48,4692275.01,34.348487,"NY566","31009180760000",-78.86903,42.36296,TRUE
"4267",15765,NA,"Genesee","NY",42.939,-78.29346,"NAD83",1384,0,1384,930,"ft",62.5,0,NA,16.94,421.84,421.84,283.46,"NAD83",720830.03,4757594.42,17.23559,"NY4271","31037139730000",-78.29346,42.939,TRUE
"4303",15801,NA,"Genesee","NY",42.8862,-78.36405,"NAD83",1781,0,1781,1155,"ft",76,0,NA,24.44,542.85,542.85,352.04,"NAD83",715254.02,4751547.64,24.853308,"NY4307","31037173170000",-78.36405,42.8862,TRUE
"4312",15810,NA,"Genesee","NY",42.98301,-78.17868,"NAD83",1285,0,1285,898,"ft",60.2,0,NA,15.67,391.67,391.67,273.71,"NAD83",730031.45,4762790.06,15.81976,"NY4316","31037173670000",-78.17868,42.98301,TRUE
"5584",17093,NA,"Wyoming","NY",42.76813,-78.39358,"NAD83",2465,0,2465,1445,"ft",82,0,NA,27.78,751.33,751.33,440.44,"NAD83",713248.21,4738360.38,28.680759,"NY5599","31121182010000",-78.39358,42.76813,TRUE
