"","RowID_","WellNam","County","State","LatDegr","LongDgr","SRS","DrllrTt","TruVrtc","DpthOfM","ElevtnG","LngthUn","MeasrdT","Temprtr","DrllngF","bht_c","WellDepth","MeasrDp","RprtdEl","CRS","coords_x1","coords_x2","BHT","StateID","API_14Dig","coords.x1","coords.x2","optional"
"2471",13968,NA,"Chautauqua","NY",42.03663,-79.62735,"NAD83",4217,0,4212,1520,"ft",104,0,NA,40,1283.82,1283.82,463.3,"NAD83",613615.82,4654753.71,43.664942,"NY2474","31013162490000",-79.62735,42.03663,TRUE
"2472",13969,NA,"Chautauqua","NY",42.04079,-79.11267,"NAD83",4850,0,4797,1590,"ft",108,0,NA,42.22,1462.13,1462.13,484.63,"NAD83",656207.57,4656027.38,47.297154,"NY2475","31013162520000",-79.11267,42.04079,TRUE
"2473",13970,NA,"Chautauqua","NY",42.22929,-79.11921,"NAD83",3915,0,3915,1407,"ft",91,0,NA,32.78,1193.29,1193.29,428.85,"NAD83",655205.15,4676946.03,35.812336,"NY2476","31013162540000",-79.11921,42.22929,TRUE
"2474",13971,NA,"Chautauqua","NY",42.40223,-79.18597,"NAD83",3187,0,3193,1400,"ft",86,0,NA,30,973.23,973.23,426.72,"NAD83",649286.41,4696029.91,31.752494,"NY2477","31013162670000",-79.18597,42.40223,TRUE
"2475",13972,NA,"Chautauqua","NY",42.23768,-79.27074,"NAD83",3599,0,3589,1295,"ft",94,0,NA,34.44,1093.93,1093.93,394.72,"NAD83",642681.44,4677612.79,36.848142,"NY2478","31013162900000",-79.27074,42.23768,TRUE
"2476",13973,NA,"Chautauqua","NY",42.00239,-79.64577,"NAD83",4498,0,4472,1705,"ft",103,0,NA,39.44,1363.07,1363.07,519.68,"NAD83",612151.31,4650927.66,43.70639,"NY2479","31013162940000",-79.64577,42.00239,TRUE
"2477",13974,NA,"Chautauqua","NY",42.17858,-79.53439,"NAD83",3918,0,3919,1670,"ft",93,0,NA,33.89,1194.51,1194.51,509.02,"NAD83",621039.98,4670642.72,36.930463,"NY2480","31013162950000",-79.53439,42.17858,TRUE
"2478",13975,NA,"Chautauqua","NY",42.09164,-79.34399,"NAD83",4188,0,4199,1470,"ft",99,0,NA,37.22,1279.86,1279.86,448.06,"NAD83",636952.11,4661276.93,40.856036,"NY2481","31013163050000",-79.34399,42.09164,TRUE
"2479",13976,NA,"Chautauqua","NY",42.13243,-79.22601,"NAD83",4365,0,4348,1660,"ft",102,0,NA,38.89,1325.27,1325.27,505.97,"NAD83",646615.29,4666001.94,42.864116,"NY2482","31013163080000",-79.22601,42.13243,TRUE
"2480",13977,NA,"Chautauqua","NY",42.40208,-79.1747,"NAD83",3258,0,3257,1445,"ft",99,0,NA,37.22,992.73,992.73,440.44,"NAD83",650214.27,4696033.12,39.070671,"NY2483","31013163120000",-79.1747,42.40208,TRUE
"2481",13978,NA,"Chautauqua","NY",42.3974,-79.17403,"NAD83",3237,0,3246,1400,"ft",85,0,NA,29.44,989.38,989.38,426.72,"NAD83",650280.58,4695514.63,31.273591,"NY2484","31013163130000",-79.17403,42.3974,TRUE
"2482",13979,NA,"Chautauqua","NY",42.24312,-79.06917,"NAD83",3884,0,3888,1378,"ft",96,0,NA,35.56,1185.06,1185.06,420.01,"NAD83",659299.86,4678574.07,38.537805,"NY2485","31013163190000",-79.06917,42.24312,TRUE
"2483",13980,NA,"Chautauqua","NY",42.19714,-79.54661,"NAD83",3797,0,3792,1600,"ft",91,0,NA,32.78,1155.8,1155.8,487.68,"NAD83",619995.64,4672686.28,35.568031,"NY2486","31013163210000",-79.54661,42.19714,TRUE
"2484",13981,NA,"Chautauqua","NY",42.26945,-79.71772,"NAD83",2557,0,2560,690,"ft",81,0,NA,27.22,780.29,780.29,210.31,"NAD83",605747.34,4680488.72,28.162427,"NY2487","31013163250000",-79.71772,42.26945,TRUE
"2485",13982,NA,"Chautauqua","NY",42.02632,-79.14135,"NAD83",4631,0,4616,1470,"ft",108,0,NA,42.22,1406.96,1406.96,448.06,"NAD83",653868.65,4654368.71,46.837767,"NY2488","31013163470000",-79.14135,42.02632,TRUE
"2486",13983,NA,"Chautauqua","NY",42.18149,-79.5772,"NAD83",3800,0,3800,1590,"ft",102,0,NA,38.89,1158.24,1158.24,484.63,"NAD83",617498.99,4670905.98,41.693611,"NY2489","31013163540000",-79.5772,42.18149,TRUE
"2487",13984,NA,"Chautauqua","NY",42.17305,-79.49379,"NAD83",3760,0,3749,1445,"ft",94,0,NA,34.44,1142.7,1142.7,440.44,"NAD83",624403.91,4670087.09,37.145159,"NY2490","31013163550000",-79.49379,42.17305,TRUE
"2488",13985,NA,"Chautauqua","NY",42.17008,-79.55669,"NAD83",3954,0,3947,1690,"ft",97,0,NA,36.11,1203.05,1203.05,515.11,"NAD83",619214.23,4669667.52,39.207658,"NY2491","31013163560000",-79.55669,42.17008,TRUE
