"","RowID_","WellNam","County","State","LatDegr","LongDgr","SRS","DrllrTt","TruVrtc","DpthOfM","ElevtnG","LngthUn","MeasrdT","Temprtr","DrllngF","bht_c","WellDepth","MeasrDp","RprtdEl","CRS","coords_x1","coords_x2","BHT","StateID","API_14Dig","coords.x1","coords.x2","optional"
"741",11569,NA,"Allegany","NY",42.08574,-77.81721,"NAD83",4775,0,4777,2006,"ft",108,0,NA,42.22,1456.03,1456.03,611.43,"NAD83",763251.18,4664198.34,47.245414,"NY75","31003145710000",-77.81721,42.08574,TRUE
"751",11570,NA,"Allegany","NY",42.08574,-77.81721,"NAD83",4775,0,4785,2006,"ft",111,0,NA,43.89,1458.47,1458.47,611.43,"NAD83",763251.18,4664198.34,48.936082,"NY76","31003145710000",-77.81721,42.08574,TRUE
"742",11569,NA,"Allegany","NY",42.08574,-77.81721,"NAD83",4775,0,4777,2006,"ft",108,0,NA,42.22,1456.03,1456.03,611.43,"NAD83",763251.18,4664198.34,47.245414,"NY75","31003145710000",-77.81721,42.08574,TRUE
"752",11570,NA,"Allegany","NY",42.08574,-77.81721,"NAD83",4775,0,4785,2006,"ft",111,0,NA,43.89,1458.47,1458.47,611.43,"NAD83",763251.18,4664198.34,48.936082,"NY76","31003145710000",-77.81721,42.08574,TRUE
"80",11575,NA,"Allegany","NY",42.06415,-77.84283,"NAD83",4945,0,4945,2104,"ft",100,0,NA,37.78,1507.24,1507.24,641.3,"NAD83",761220.53,4661722.16,43.246881,"NY81","31003150540000",-77.84283,42.06415,TRUE
"801",11575,NA,"Allegany","NY",42.06415,-77.84283,"NAD83",4945,0,4945,2104,"ft",100,0,NA,37.78,1507.24,1507.24,641.3,"NAD83",761220.53,4661722.16,43.246881,"NY81","31003150540000",-77.84283,42.06415,TRUE
"85",11580,NA,"Allegany","NY",42.04476,-77.8657,"NAD83",5085,0,5093,2289,"ft",104,0,NA,40,1552.35,1552.35,697.69,"NAD83",759407.08,4659499.27,45.868792,"NY86","31003153690000",-77.8657,42.04476,TRUE
"86",11581,NA,"Allegany","NY",42.04476,-77.8657,"NAD83",5085,0,5093,2289,"ft",105,0,NA,40.56,1552.35,1552.35,697.69,"NAD83",759407.08,4659499.27,46.428792,"NY87","31003153690000",-77.8657,42.04476,TRUE
"87",11582,NA,"Allegany","NY",42.04476,-77.8657,"NAD83",5085,0,5093,2289,"ft",108,0,NA,42.22,1552.35,1552.35,697.69,"NAD83",759407.08,4659499.27,48.088792,"NY88","31003153690000",-77.8657,42.04476,TRUE
"851",11580,NA,"Allegany","NY",42.04476,-77.8657,"NAD83",5085,0,5093,2289,"ft",104,0,NA,40,1552.35,1552.35,697.69,"NAD83",759407.08,4659499.27,45.868792,"NY86","31003153690000",-77.8657,42.04476,TRUE
"861",11581,NA,"Allegany","NY",42.04476,-77.8657,"NAD83",5085,0,5093,2289,"ft",105,0,NA,40.56,1552.35,1552.35,697.69,"NAD83",759407.08,4659499.27,46.428792,"NY87","31003153690000",-77.8657,42.04476,TRUE
"871",11582,NA,"Allegany","NY",42.04476,-77.8657,"NAD83",5085,0,5093,2289,"ft",108,0,NA,42.22,1552.35,1552.35,697.69,"NAD83",759407.08,4659499.27,48.088792,"NY88","31003153690000",-77.8657,42.04476,TRUE
"852",11580,NA,"Allegany","NY",42.04476,-77.8657,"NAD83",5085,0,5093,2289,"ft",104,0,NA,40,1552.35,1552.35,697.69,"NAD83",759407.08,4659499.27,45.868792,"NY86","31003153690000",-77.8657,42.04476,TRUE
"862",11581,NA,"Allegany","NY",42.04476,-77.8657,"NAD83",5085,0,5093,2289,"ft",105,0,NA,40.56,1552.35,1552.35,697.69,"NAD83",759407.08,4659499.27,46.428792,"NY87","31003153690000",-77.8657,42.04476,TRUE
"872",11582,NA,"Allegany","NY",42.04476,-77.8657,"NAD83",5085,0,5093,2289,"ft",108,0,NA,42.22,1552.35,1552.35,697.69,"NAD83",759407.08,4659499.27,48.088792,"NY88","31003153690000",-77.8657,42.04476,TRUE
"95",11590,NA,"Allegany","NY",42.25695,-77.78357,"NAD83",3987,0,3994,0,"ft",95,0,NA,35,1217.37,1217.37,0,"NAD83",765316.56,4683315.41,38.194773,"NY96","31003162030000",-77.78357,42.25695,TRUE
"96",11591,NA,"Allegany","NY",42.25695,-77.78357,"NAD83",3987,0,3970,0,"ft",98,0,NA,36.67,1210.06,1210.06,0,"NAD83",765316.56,4683315.41,39.81501,"NY97","31003162030000",-77.78357,42.25695,TRUE
"97",11592,NA,"Allegany","NY",42.25695,-77.78357,"NAD83",3987,0,3994,0,"ft",103,0,NA,39.44,1217.37,1217.37,0,"NAD83",765316.56,4683315.41,42.634773,"NY98","31003162030000",-77.78357,42.25695,TRUE
"951",11590,NA,"Allegany","NY",42.25695,-77.78357,"NAD83",3987,0,3994,0,"ft",95,0,NA,35,1217.37,1217.37,0,"NAD83",765316.56,4683315.41,38.194773,"NY96","31003162030000",-77.78357,42.25695,TRUE
"961",11591,NA,"Allegany","NY",42.25695,-77.78357,"NAD83",3987,0,3970,0,"ft",98,0,NA,36.67,1210.06,1210.06,0,"NAD83",765316.56,4683315.41,39.81501,"NY97","31003162030000",-77.78357,42.25695,TRUE
"971",11592,NA,"Allegany","NY",42.25695,-77.78357,"NAD83",3987,0,3994,0,"ft",103,0,NA,39.44,1217.37,1217.37,0,"NAD83",765316.56,4683315.41,42.634773,"NY98","31003162030000",-77.78357,42.25695,TRUE
"952",11590,NA,"Allegany","NY",42.25695,-77.78357,"NAD83",3987,0,3994,0,"ft",95,0,NA,35,1217.37,1217.37,0,"NAD83",765316.56,4683315.41,38.194773,"NY96","31003162030000",-77.78357,42.25695,TRUE
"962",11591,NA,"Allegany","NY",42.25695,-77.78357,"NAD83",3987,0,3970,0,"ft",98,0,NA,36.67,1210.06,1210.06,0,"NAD83",765316.56,4683315.41,39.81501,"NY97","31003162030000",-77.78357,42.25695,TRUE
"972",11592,NA,"Allegany","NY",42.25695,-77.78357,"NAD83",3987,0,3994,0,"ft",103,0,NA,39.44,1217.37,1217.37,0,"NAD83",765316.56,4683315.41,42.634773,"NY98","31003162030000",-77.78357,42.25695,TRUE
"173",11668,NA,"Allegany","NY",42.04394,-77.84891,"NAD83",4995,0,4894,2204,"ft",112.7,0,NA,44.83,1491.69,1491.69,671.78,"NAD83",760800.19,4659459.31,50.161137,"NY174","31003208820000",-77.84891,42.04394,TRUE
"175",11670,NA,"Allegany","NY",42.04394,-77.84891,"NAD83",4995,0,4987,2204,"ft",119,0,NA,48.33,1520.04,1520.04,671.78,"NAD83",760800.19,4659459.31,53.909706,"NY176","31003208820000",-77.84891,42.04394,TRUE
"1731",11668,NA,"Allegany","NY",42.04394,-77.84891,"NAD83",4995,0,4894,2204,"ft",112.7,0,NA,44.83,1491.69,1491.69,671.78,"NAD83",760800.19,4659459.31,50.161137,"NY174","31003208820000",-77.84891,42.04394,TRUE
"1751",11670,NA,"Allegany","NY",42.04394,-77.84891,"NAD83",4995,0,4987,2204,"ft",119,0,NA,48.33,1520.04,1520.04,671.78,"NAD83",760800.19,4659459.31,53.909706,"NY176","31003208820000",-77.84891,42.04394,TRUE
"1732",11668,NA,"Allegany","NY",42.04394,-77.84891,"NAD83",4995,0,4894,2204,"ft",112.7,0,NA,44.83,1491.69,1491.69,671.78,"NAD83",760800.19,4659459.31,50.161137,"NY174","31003208820000",-77.84891,42.04394,TRUE
"1752",11670,NA,"Allegany","NY",42.04394,-77.84891,"NAD83",4995,0,4987,2204,"ft",119,0,NA,48.33,1520.04,1520.04,671.78,"NAD83",760800.19,4659459.31,53.909706,"NY176","31003208820000",-77.84891,42.04394,TRUE
"211",11706,NA,"Allegany","NY",42.11317,-77.82525,"NAD83",1986,0,3025,2115,"ft",77,0,NA,25,922.02,922.02,644.65,"NAD83",762472.85,4667219.64,26.508969,"NY212","31003225810000",-77.82525,42.11317,TRUE
"2111",11706,NA,"Allegany","NY",42.11317,-77.82525,"NAD83",1986,0,3025,2115,"ft",77,0,NA,25,922.02,922.02,644.65,"NAD83",762472.85,4667219.64,26.508969,"NY212","31003225810000",-77.82525,42.11317,TRUE
"230",11725,NA,"Allegany","NY",42.00803,-77.86643,"NAD83",4956,0,4910,1850,"ft",115,0,NA,46.11,1496.57,1496.57,563.88,"NAD83",759496.14,4655418.31,51.48358,"NY231","31003252860000",-77.86643,42.00803,TRUE
"2301",11725,NA,"Allegany","NY",42.00803,-77.86643,"NAD83",4956,0,4910,1850,"ft",115,0,NA,46.11,1496.57,1496.57,563.88,"NAD83",759496.14,4655418.31,51.48358,"NY231","31003252860000",-77.86643,42.00803,TRUE
"239",11734,NA,"Allegany","NY",42.11869,-77.80731,"NAD83",2050,0,2050,2222,"ft",69.8,0,NA,21,624.84,624.84,677.27,"NAD83",763933.26,4667887.96,21.495954,"NY240","31003253920001",-77.80731,42.11869,TRUE
"2391",11734,NA,"Allegany","NY",42.11869,-77.80731,"NAD83",2050,0,2050,2222,"ft",69.8,0,NA,21,624.84,624.84,677.27,"NAD83",763933.26,4667887.96,21.495954,"NY240","31003253920001",-77.80731,42.11869,TRUE
"243",11738,NA,"Allegany","NY",42.11732,-77.8073,"NAD83",2100,0,2100,2265,"ft",70.7,0,NA,21.5,640.08,640.08,690.37,"NAD83",763939.78,4667735.85,22.032061,"NY244","31003253960001",-77.8073,42.11732,TRUE
"2431",11738,NA,"Allegany","NY",42.11732,-77.8073,"NAD83",2100,0,2100,2265,"ft",70.7,0,NA,21.5,640.08,640.08,690.37,"NAD83",763939.78,4667735.85,22.032061,"NY244","31003253960001",-77.8073,42.11732,TRUE
"290",11785,NA,"Broome","NY",42.17821,-75.67031,"NAD83",9874,0,9821,1525,"ft",159,0,NA,70.56,2993.44,2993.44,464.82,"NAD83",940221.71,4683330.63,92.343587,"NY291","31007229840000",-75.67031,42.17821,TRUE
"2901",11785,NA,"Broome","NY",42.17821,-75.67031,"NAD83",9874,0,9821,1525,"ft",159,0,NA,70.56,2993.44,2993.44,464.82,"NAD83",940221.71,4683330.63,92.343587,"NY291","31007229840000",-75.67031,42.17821,TRUE
"292",11787,NA,"Broome","NY",42.13741,-75.83353,"NAD83",10260,0,10179,1415,"ft",170,0,NA,76.67,3102.56,3102.56,431.29,"NAD83",927011.47,4677967,99.695434,"NY293","31007229950000",-75.83353,42.13741,TRUE
"2921",11787,NA,"Broome","NY",42.13741,-75.83353,"NAD83",10260,0,10179,1415,"ft",170,0,NA,76.67,3102.56,3102.56,431.29,"NAD83",927011.47,4677967,99.695434,"NY293","31007229950000",-75.83353,42.13741,TRUE
"295",11790,NA,"Broome","NY",42.24375,-76.04418,"NAD83",8990,0,8990,1095,"ft",140,0,NA,60,2740.15,2740.15,333.76,"NAD83",908908.87,4688743.76,78.95373,"NY296","31007230320000",-76.04418,42.24375,TRUE
"2951",11790,NA,"Broome","NY",42.24375,-76.04418,"NAD83",8990,0,8990,1095,"ft",140,0,NA,60,2740.15,2740.15,333.76,"NAD83",908908.87,4688743.76,78.95373,"NY296","31007230320000",-76.04418,42.24375,TRUE
"298",11793,NA,"Broome","NY",42.14282,-75.82491,"NAD83",10105,0,10114,1470,"ft",131,0,NA,55,3082.75,3082.75,448.06,"NAD83",927687.59,4678611.19,77.799091,"NY299","31007230560000",-75.82491,42.14282,TRUE
"299",11794,NA,"Broome","NY",42.14282,-75.82491,"NAD83",10104,0,10139,1470,"ft",125,0,NA,51.67,3090.37,3090.37,448.06,"NAD83",927687.59,4678611.19,74.55611,"NY300","31007230560100",-75.82491,42.14282,TRUE
"2981",11793,NA,"Broome","NY",42.14282,-75.82491,"NAD83",10105,0,10114,1470,"ft",131,0,NA,55,3082.75,3082.75,448.06,"NAD83",927687.59,4678611.19,77.799091,"NY299","31007230560000",-75.82491,42.14282,TRUE
"2991",11794,NA,"Broome","NY",42.14282,-75.82491,"NAD83",10104,0,10139,1470,"ft",125,0,NA,51.67,3090.37,3090.37,448.06,"NAD83",927687.59,4678611.19,74.55611,"NY300","31007230560100",-75.82491,42.14282,TRUE
"2982",11793,NA,"Broome","NY",42.14282,-75.82491,"NAD83",10105,0,10114,1470,"ft",131,0,NA,55,3082.75,3082.75,448.06,"NAD83",927687.59,4678611.19,77.799091,"NY299","31007230560000",-75.82491,42.14282,TRUE
"2992",11794,NA,"Broome","NY",42.14282,-75.82491,"NAD83",10104,0,10139,1470,"ft",125,0,NA,51.67,3090.37,3090.37,448.06,"NAD83",927687.59,4678611.19,74.55611,"NY300","31007230560100",-75.82491,42.14282,TRUE
"300",11795,NA,"Broome","NY",42.15274,-75.80369,"NAD83",9631,0,6722,1140,"ft",105,0,NA,40.56,2048.87,2048.87,347.47,"NAD83",929374.52,4679819.9,51.523996,"NY301","31007230780000",-75.80369,42.15274,TRUE
"3001",11795,NA,"Broome","NY",42.15274,-75.80369,"NAD83",9631,0,6722,1140,"ft",105,0,NA,40.56,2048.87,2048.87,347.47,"NAD83",929374.52,4679819.9,51.523996,"NY301","31007230780000",-75.80369,42.15274,TRUE
"329",11824,NA,"Cattaraugus","NY",42.09694,-78.63287,"NAD83",1503,0,1490,1400,"ft",74,0,NA,23.33,454.15,454.15,426.72,"NAD83",695748.26,4663250.12,23.523723,"NY330","31009067430000",-78.63287,42.09694,TRUE
"3291",11824,NA,"Cattaraugus","NY",42.09694,-78.63287,"NAD83",1503,0,1490,1400,"ft",74,0,NA,23.33,454.15,454.15,426.72,"NAD83",695748.26,4663250.12,23.523723,"NY330","31009067430000",-78.63287,42.09694,TRUE
"339",11834,NA,"Cattaraugus","NY",42.00872,-78.56849,"NAD83",11680,0,6328,1601,"ft",116,0,NA,46.67,1928.77,1928.77,487.98,"NAD83",701351.06,4653603.7,56.30415,"NY340","31009092350000",-78.56849,42.00872,TRUE
"3391",11834,NA,"Cattaraugus","NY",42.00872,-78.56849,"NAD83",11680,0,6328,1601,"ft",116,0,NA,46.67,1928.77,1928.77,487.98,"NAD83",701351.06,4653603.7,56.30415,"NY340","31009092350000",-78.56849,42.00872,TRUE
"373",11868,NA,"Cattaraugus","NY",42.03994,-78.58732,"NAD83",4058,0,4028,0,"ft",100,0,NA,37.78,1227.73,1227.73,0,"NAD83",699693.89,4657026.21,41.045972,"NY374","31009157650000",-78.58732,42.03994,TRUE
"3731",11868,NA,"Cattaraugus","NY",42.03994,-78.58732,"NAD83",4058,0,4028,0,"ft",100,0,NA,37.78,1227.73,1227.73,0,"NAD83",699693.89,4657026.21,41.045972,"NY374","31009157650000",-78.58732,42.03994,TRUE
"380",11875,NA,"Cattaraugus","NY",42.07594,-78.485,"NAD83",3672,0,3661,0,"ft",94,0,NA,34.44,1115.87,1115.87,0,"NAD83",708045.69,4661267.73,36.979504,"NY381","31009162140000",-78.485,42.07594,TRUE
"3801",11875,NA,"Cattaraugus","NY",42.07594,-78.485,"NAD83",3672,0,3661,0,"ft",94,0,NA,34.44,1115.87,1115.87,0,"NAD83",708045.69,4661267.73,36.979504,"NY381","31009162140000",-78.485,42.07594,TRUE
"407",11902,NA,"Cattaraugus","NY",42.05977,-78.64456,"NAD83",1404,0,1402,1422,"ft",73,0,NA,22.78,427.33,427.33,433.43,"NAD83",694895.28,4659096.03,22.941688,"NY408","31009165190000",-78.64456,42.05977,TRUE
"4071",11902,NA,"Cattaraugus","NY",42.05977,-78.64456,"NAD83",1404,0,1402,1422,"ft",73,0,NA,22.78,427.33,427.33,433.43,"NAD83",694895.28,4659096.03,22.941688,"NY408","31009165190000",-78.64456,42.05977,TRUE
"436",11931,NA,"Cattaraugus","NY",42.37396,-78.89662,"NAD83",3866,0,3842,1708,"ft",97.5,0,NA,36.39,1171.04,1171.04,520.6,"NAD83",673177.19,4693439.88,39.276072,"NY437","31009169200000",-78.89662,42.37396,TRUE
"4361",11931,NA,"Cattaraugus","NY",42.37396,-78.89662,"NAD83",3866,0,3842,1708,"ft",97.5,0,NA,36.39,1171.04,1171.04,520.6,"NAD83",673177.19,4693439.88,39.276072,"NY437","31009169200000",-78.89662,42.37396,TRUE
"523",12018,NA,"Cattaraugus","NY",42.20344,-79.05548,"NAD83",4081,0,4056,1345,"ft",103,0,NA,39.44,1236.27,1236.27,409.96,"NAD83",660529.9,4674193.71,42.765252,"NY524","31009176050000",-79.05548,42.20344,TRUE
"5231",12018,NA,"Cattaraugus","NY",42.20344,-79.05548,"NAD83",4081,0,4056,1345,"ft",103,0,NA,39.44,1236.27,1236.27,409.96,"NAD83",660529.9,4674193.71,42.765252,"NY524","31009176050000",-79.05548,42.20344,TRUE
"565",12060,NA,"Cattaraugus","NY",42.36296,-78.86903,"NAD83",3962,0,3962,1769,"ft",88,0,NA,31.11,1207.62,1207.62,539.19,"NAD83",675479.48,4692275.01,34.238487,"NY566","31009180760000",-78.86903,42.36296,TRUE
"566",12061,NA,"Cattaraugus","NY",42.36296,-78.86903,"NAD83",3962,0,3962,1769,"ft",88.4,0,NA,31.33,1207.62,1207.62,539.19,"NAD83",675479.48,4692275.01,34.458487,"NY567","31009180760000",-78.86903,42.36296,TRUE
"569",12064,NA,"Cattaraugus","NY",42.38758,-78.87535,"NAD83",3761,0,3652,1658,"ft",91,0,NA,32.78,1113.13,1113.13,505.36,"NAD83",674890.66,4694995.86,35.302896,"NY570","31009180910000",-78.87535,42.38758,TRUE
"5691",12064,NA,"Cattaraugus","NY",42.38758,-78.87535,"NAD83",3761,0,3652,1658,"ft",91,0,NA,32.78,1113.13,1113.13,505.36,"NAD83",674890.66,4694995.86,35.302896,"NY570","31009180910000",-78.87535,42.38758,TRUE
"598",12093,NA,"Cattaraugus","NY",42.38901,-78.83513,"NAD83",3650,0,3645,1481,"ft",92.4,0,NA,33.56,1111,1111,451.41,"NAD83",678197.47,4695238.24,36.070026,"NY599","31009184850000",-78.83513,42.38901,TRUE
"5981",12093,NA,"Cattaraugus","NY",42.38901,-78.83513,"NAD83",3650,0,3645,1481,"ft",92.4,0,NA,33.56,1111,1111,451.41,"NAD83",678197.47,4695238.24,36.070026,"NY599","31009184850000",-78.83513,42.38901,TRUE
"626",12121,NA,"Cattaraugus","NY",42.38592,-78.99031,"NAD83",3372,0,3356,1355,"ft",91.6,0,NA,33.11,1022.91,1022.91,413,"NAD83",665431.73,4694581.26,35.118528,"NY627","31009187740000",-78.99031,42.38592,TRUE
"6261",12121,NA,"Cattaraugus","NY",42.38592,-78.99031,"NAD83",3372,0,3356,1355,"ft",91.6,0,NA,33.11,1022.91,1022.91,413,"NAD83",665431.73,4694581.26,35.118528,"NY627","31009187740000",-78.99031,42.38592,TRUE
"704",12199,NA,"Cattaraugus","NY",42.39541,-78.67198,"NAD83",7502,0,3815,1620,"ft",88,0,NA,31.11,1162.81,1162.81,493.78,"NAD83",691608.03,4696304.1,33.94291,"NY705","31009218090000",-78.67198,42.39541,TRUE
"7041",12199,NA,"Cattaraugus","NY",42.39541,-78.67198,"NAD83",7502,0,3815,1620,"ft",88,0,NA,31.11,1162.81,1162.81,493.78,"NAD83",691608.03,4696304.1,33.94291,"NY705","31009218090000",-78.67198,42.39541,TRUE
"728",12223,NA,"Cattaraugus","NY",42.50743,-78.47161,"NAD83",3459,0,3408,1435,"ft",80,0,NA,26.67,1038.76,1038.76,437.39,"NAD83",707729.68,4709215.18,28.764298,"NY729","31009225660000",-78.47161,42.50743,TRUE
"7281",12223,NA,"Cattaraugus","NY",42.50743,-78.47161,"NAD83",3459,0,3408,1435,"ft",80,0,NA,26.67,1038.76,1038.76,437.39,"NAD83",707729.68,4709215.18,28.764298,"NY729","31009225660000",-78.47161,42.50743,TRUE
"731",12226,NA,"Cattaraugus","NY",42.42659,-78.66849,"NAD83",3938,0,3893,1810,"ft",94,0,NA,34.44,1186.59,1186.59,551.69,"NAD83",691800.21,4699774.37,37.427904,"NY732","31009225930000",-78.66849,42.42659,TRUE
"7311",12226,NA,"Cattaraugus","NY",42.42659,-78.66849,"NAD83",3938,0,3893,1810,"ft",94,0,NA,34.44,1186.59,1186.59,551.69,"NAD83",691800.21,4699774.37,37.427904,"NY732","31009225930000",-78.66849,42.42659,TRUE
"732",12227,NA,"Cattaraugus","NY",42.42223,-78.66603,"NAD83",3948,0,2919,1795,"ft",80,0,NA,26.67,889.71,889.71,547.12,"NAD83",692015.9,4699295.78,28.035978,"NY733","31009225970000",-78.66603,42.42223,TRUE
"7321",12227,NA,"Cattaraugus","NY",42.42223,-78.66603,"NAD83",3948,0,2919,1795,"ft",80,0,NA,26.67,889.71,889.71,547.12,"NAD83",692015.9,4699295.78,28.035978,"NY733","31009225970000",-78.66603,42.42223,TRUE
"737",12232,NA,"Cattaraugus","NY",42.02841,-78.51136,"NAD83",9346,0,5224,2095,"ft",117,0,NA,47.22,1592.28,1592.28,638.56,"NAD83",706018.64,4655926.12,53.454335,"NY738","31009234350000",-78.51136,42.02841,TRUE
"7371",12232,NA,"Cattaraugus","NY",42.02841,-78.51136,"NAD83",9346,0,5224,2095,"ft",117,0,NA,47.22,1592.28,1592.28,638.56,"NAD83",706018.64,4655926.12,53.454335,"NY738","31009234350000",-78.51136,42.02841,TRUE
"7421",12237,NA,"Cattaraugus","NY",42.49759,-78.52277,"NAD83",6565,0,6599,1750,"ft",127,0,NA,52.78,2011.38,2011.38,533.4,"NAD83",703558.14,4707998.32,63.323271,"NY743","31009234560000",-78.52277,42.49759,TRUE
"7422",12237,NA,"Cattaraugus","NY",42.49759,-78.52277,"NAD83",6565,0,6599,1750,"ft",127,0,NA,52.78,2011.38,2011.38,533.4,"NAD83",703558.14,4707998.32,63.323271,"NY743","31009234560000",-78.52277,42.49759,TRUE
